,Year,Month,Province_group,Distance,Hospital_admission,Mode,Year-Month
0,2018,1.0,North,   15.57,0.0,Total,201801.0
200,2018,1.0,West,    8.13,0.0,Walk,201801.0
204,2018,1.0,South,    7.33,0.0,Walk,201801.0
384,2018,1.0,North,   12.27,0.0,Fun,201801.0
388,2018,1.0,East,   10.59,0.0,Fun,201801.0
392,2018,1.0,West,    9.78,0.0,Fun,201801.0
396,2018,1.0,South,    9.07,0.0,Fun,201801.0
576,2018,1.0,North,   21.78,0.0,Visit,201801.0
580,2018,1.0,East,   24.77,0.0,Visit,201801.0
584,2018,1.0,West,   28.46,0.0,Visit,201801.0
588,2018,1.0,South,   16.82,0.0,Visit,201801.0
768,2018,1.0,North,0,0.0,Edu,201801.0
772,2018,1.0,East,   11.10,0.0,Edu,201801.0
776,2018,1.0,West,   13.51,0.0,Edu,201801.0
780,2018,1.0,South,   19.18,0.0,Edu,201801.0
960,2018,1.0,North,    7.40,0.0,Shop,201801.0
964,2018,1.0,East,    4.50,0.0,Shop,201801.0
968,2018,1.0,West,    4.61,0.0,Shop,201801.0
972,2018,1.0,South,    5.32,0.0,Shop,201801.0
1164,2018,1,South,   18.45,0.0,Commute,201801.0
1160,2018,1,West,   20.14,0.0,Commute,201801.0
1156,2018,1,East,   21.67,0.0,Commute,201801.0
196,2018,1.0,East,    6.41,0.0,Walk,201801.0
192,2018,1.0,North,    7.48,0.0,Walk,201801.0
1152,2018,1,North,   23.07,0.0,Commute,201801.0
12,2018,1.0,South,   12.53,0.0,Total,201801.0
4,2018,1.0,East,   13.60,0.0,Total,201801.0
8,2018,1.0,West,   13.37,0.0,Total,201801.0
1176,2018,2,West,   18.88,0.0,Commute,201802.0
988,2018,2.0,South,    5.11,0.0,Shop,201802.0
984,2018,2.0,West,    4.56,0.0,Shop,201802.0
980,2018,2.0,East,    6.61,0.0,Shop,201802.0
976,2018,2.0,North,    6.85,0.0,Shop,201802.0
1180,2018,2,South,   20.03,0.0,Commute,201802.0
796,2018,2.0,South,   13.26,0.0,Edu,201802.0
792,2018,2.0,West,   11.09,0.0,Edu,201802.0
788,2018,2.0,East,   11.62,0.0,Edu,201802.0
784,2018,2.0,North,0,0.0,Edu,201802.0
1172,2018,2,East,   22.79,0.0,Commute,201802.0
208,2018,2.0,North,    6.13,0.0,Walk,201802.0
216,2018,2.0,West,    7.42,0.0,Walk,201802.0
220,2018,2.0,South,    7.32,0.0,Walk,201802.0
604,2018,2.0,South,   14.04,0.0,Visit,201802.0
600,2018,2.0,West,   16.02,0.0,Visit,201802.0
596,2018,2.0,East,   24.54,0.0,Visit,201802.0
592,2018,2.0,North,0,0.0,Visit,201802.0
24,2018,2.0,West,   12.19,0.0,Total,201802.0
412,2018,2.0,South,    9.78,0.0,Fun,201802.0
408,2018,2.0,West,   10.39,0.0,Fun,201802.0
404,2018,2.0,East,   10.79,0.0,Fun,201802.0
400,2018,2.0,North,   16.24,0.0,Fun,201802.0
16,2018,2.0,North,   16.18,0.0,Total,201802.0
212,2018,2.0,East,    8.46,0.0,Walk,201802.0
1168,2018,2,North,   20.11,0.0,Commute,201802.0
20,2018,2.0,East,   15.69,0.0,Total,201802.0
28,2018,2.0,South,   12.05,0.0,Total,201802.0
612,2018,3.0,East,   19.28,0.0,Visit,201803.0
992,2018,3.0,North,    5.44,0.0,Shop,201803.0
236,2018,3.0,South,    9.18,0.0,Walk,201803.0
608,2018,3.0,North,   24.59,0.0,Visit,201803.0
812,2018,3.0,South,   13.98,0.0,Edu,201803.0
44,2018,3.0,South,   11.62,0.0,Total,201803.0
428,2018,3.0,South,   11.36,0.0,Fun,201803.0
228,2018,3.0,East,    7.52,0.0,Walk,201803.0
416,2018,3.0,North,   10.48,0.0,Fun,201803.0
804,2018,3.0,East,   15.31,0.0,Edu,201803.0
424,2018,3.0,West,   11.41,0.0,Fun,201803.0
1004,2018,3.0,South,    5.65,0.0,Shop,201803.0
1000,2018,3.0,West,    5.25,0.0,Shop,201803.0
224,2018,3.0,North,0,0.0,Walk,201803.0
996,2018,3.0,East,    6.16,0.0,Shop,201803.0
616,2018,3.0,West,   23.52,0.0,Visit,201803.0
620,2018,3.0,South,   17.80,0.0,Visit,201803.0
420,2018,3.0,East,   13.55,0.0,Fun,201803.0
32,2018,3.0,North,   14.65,0.0,Total,201803.0
36,2018,3.0,East,   12.78,0.0,Total,201803.0
808,2018,3.0,West,   13.55,0.0,Edu,201803.0
1192,2018,3,West,   18.79,0.0,Commute,201803.0
1184,2018,3,North,   23.02,0.0,Commute,201803.0
232,2018,3.0,West,    9.82,0.0,Walk,201803.0
1196,2018,3,South,   16.65,0.0,Commute,201803.0
800,2018,3.0,North,   14.45,0.0,Edu,201803.0
1188,2018,3,East,   16.93,0.0,Commute,201803.0
40,2018,3.0,West,   13.15,0.0,Total,201803.0
252,2018,4.0,South,    6.58,0.0,Walk,201804.0
244,2018,4.0,East,    9.03,0.0,Walk,201804.0
628,2018,4.0,East,   20.09,0.0,Visit,201804.0
624,2018,4.0,North,   30.00,0.0,Visit,201804.0
48,2018,4.0,North,   16.72,0.0,Total,201804.0
432,2018,4.0,North,   14.67,0.0,Fun,201804.0
636,2018,4.0,South,   19.29,0.0,Visit,201804.0
436,2018,4.0,East,   12.91,0.0,Fun,201804.0
632,2018,4.0,West,   21.42,0.0,Visit,201804.0
440,2018,4.0,West,   11.18,0.0,Fun,201804.0
240,2018,4.0,North,   14.67,0.0,Walk,201804.0
444,2018,4.0,South,   15.23,0.0,Fun,201804.0
1200,2018,4,North,   25.49,0.0,Commute,201804.0
816,2018,4.0,North,0,0.0,Edu,201804.0
56,2018,4.0,West,   13.09,0.0,Total,201804.0
1208,2018,4,West,   17.54,0.0,Commute,201804.0
60,2018,4.0,South,   14.47,0.0,Total,201804.0
52,2018,4.0,East,   14.43,0.0,Total,201804.0
1212,2018,4,South,   16.08,0.0,Commute,201804.0
1204,2018,4,East,   21.95,0.0,Commute,201804.0
828,2018,4.0,South,   18.81,0.0,Edu,201804.0
248,2018,4.0,West,   10.35,0.0,Walk,201804.0
1016,2018,4.0,West,    5.70,0.0,Shop,201804.0
